Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
ghostevents.xyz,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
jacos-co-jp.jnqccy.com.cn,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
saisoncard.co.jp.answer075.xyz,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
nijinlnolor.work.gd,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
koneabou0603.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
eljardindelosnovios.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1
kind-pike.16-171-61-234.plesk.page,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
racingallesand.wpenginepowered.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
kingtogel.co,0,0,1,11,0,0,0,0,1,1,1,1,1,1,1,1,1
restplatinopacks.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,1,1
issudeveloperappeal-service.web.app,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
isp-18-29-179.main.jp,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
authentification40.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
reniacade.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
instagramhelpcenter.icu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
kerunokeyomota.ztjun.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
onlinemotinewm.store,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,1
a06.smakbo.sch.id,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1
gateway.pinata.cloud,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1
redirectprojettelefonika12.blogspot.com,0,0,1,3,0,0,1,0,1,1,1,1,1,1,1,1,1
cloudflare-ipfs.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
itrrrrrqqt.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
hp4g3b.zyns.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
apprenwal.ydns.eu,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
help-center234.crabdance.com,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
bafybeifaepewbypikaxmjs6hipa3unjqoqggurgxnzcqomfqkawatnyztm.ipfs.infura-ipfs.io,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
app-4e5aaab4-cacd-4746-9930-f8f6cdad2906.cleverapps.io,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
walletconnectes.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1
urlis.net,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
dev-qwoqpropar.pantheonsite.io,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
cloudflare.wenrou-gu.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ww.pontua-smiles.me,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
eki-euwr.icu,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
byetwrv43.fartit.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
bit.ly,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
bafybeiemv4hbuu5ej7wo2knpeqt5vdzvb5upmpqdf7htdm7gvqysjta3ay.ipfs.nftstorage.link,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
toolstrack.xrmki.cfd,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
64.47.167.72.host.secureserver.net,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
889988.joomla.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
infura-ipfs.io,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
olha.xyz,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
cloudflare-ipfs.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
sparkasse.onlinehilfe.com.de,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
bafybeihmzpmfwrvgetdj7pfnbfuvacf4ahm6qjck33xxyhypgwwtovqj54.ipfs.infura-ipfs.io,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
vimufrutas.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
dlrect-smtb.jp.ap1.ib.shengxiangwenhua.com,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
thaniehopkin.life,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
9c03d654-619e-4b36-99d5-ee1a7bd6f18b.id.repl.co,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
activites-commerciales-5.web.app,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
business-advertise-case-84043.firebaseapp.com,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
usa-outlook-drive-share.web.app,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
predesigned-113-95740.grwebsite.eu,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
kh25382946263.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
onlineseedsbank.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1
cq16w16cqw.cyou,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
onlie--promevs.repl.co,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
my-login.smbc-direct.is,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
e-post-tw.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
101.20.205.92.host.secureserver.net,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
cs81624.tw1.ru,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
chuorun.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
lnkd.in,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
bafkreic5qerkhud3x54sutk5usvm6pvg65qfcu543d2zxhkys5wh6lkxx4.ipfs.nftstorage.link,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
rogers-105348.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
unnaturalglitteringrange.yesbabyflowgod.repl.co,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
pub-4f53d843ef8a4fcf9cb391135ccbcd0f.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
montepio-login.top,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
eb4.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
infura-ipfs.io,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
5678765678.5678987654.repl.co,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
hirenin.netlify.app,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
gateway.pinata.cloud,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1
renew-meta-52ed5.web.app,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ntagotd.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
lawyersupdate.co.in,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,1
zebebids-onliine.com,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
cloudflare-ipfs.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1
cp79944.tw1.ru,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
bafkreia5eivxjswr5zpl6uxfruihvvlbbzb4zzvbt73wchs453tx3dodz4.ipfs.cf-ipfs.com,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
akeo-mint.vercel.app,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
bafybeihaghuxkwboq7367jupfatm2mt5kmviygerp6pfux7ykkstb5vng4.ipfs.nftstorage.link,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
majemefa.top,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
americaoexprecs.co.jp.qbfvbg.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
